num_nodes,p,r,prob_selected,edge_method,time_mc,approximation,time_ic_apporx,rmse,pearson,spearman,auc
100,0.02,0.0,0.01,degree_based,0.1490767002105713,Matic,0.0013225078582763672,0.008428916095475,tensor(0.9974),0.8608286552829143,0.9999999999999999
100,0.02,0.0,0.01,degree_based,0.1490767002105713,fixed_point,0.0018970966339111328,0.02786785881526842,tensor(0.9744),0.8333185872830546,1.0
100,0.02,0.0,0.01,degree_based,0.1490767002105713,dmp,0.003202199935913086,0.08226940518123176,tensor(0.8571),0.8528169340721632,0.9915789473684211
100,0.02,0.0,0.01,degree_based,0.1490767002105713,Srivastava,0.0017998218536376953,0.009169415439259879,tensor(0.9968),0.8149619599100764,1.0
100,0.02,0.0,0.01,degree_based,0.1490767002105713,ALE,0.0005571842193603516,0.05245788153810662,tensor(0.9991),0.7016790906452149,1.0000000000000002
100,0.02,0.0,0.01,degree_based,0.1490767002105713,Modified_ALE,0.0008463859558105469,0.020795954308767295,tensor(0.9852),0.8148809646696473,1.0
100,0.02,0.0,0.01,degree_based,0.10468220710754395,Matic,0.0011000633239746094,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.10468220710754395,fixed_point,0.001375436782836914,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.10468220710754395,dmp,0.0030040740966796875,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.10468220710754395,Srivastava,0.0017840862274169922,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.10468220710754395,ALE,0.0009272098541259766,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.10468220710754395,Modified_ALE,0.0009582042694091797,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.08342885971069336,Matic,0.0009474754333496094,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.08342885971069336,fixed_point,0.0008816719055175781,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.08342885971069336,dmp,0.0027332305908203125,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.08342885971069336,Srivastava,0.0015606880187988281,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.08342885971069336,ALE,0.0004799365997314453,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.08342885971069336,Modified_ALE,0.000598907470703125,0.0,tensor(nan),,
100,0.02,0.0,0.01,degree_based,0.1842820644378662,Matic,0.0010936260223388672,0.01597670177169339,tensor(0.9958),0.9609472740120449,1.0
100,0.02,0.0,0.01,degree_based,0.1842820644378662,fixed_point,0.0014693737030029297,0.03861623148098458,tensor(0.9831),0.9757759998404291,0.9999999999999999
100,0.02,0.0,0.01,degree_based,0.1842820644378662,dmp,0.003731250762939453,0.08020959215549074,tensor(0.8822),0.9467125173791726,0.9969278033794162
100,0.02,0.0,0.01,degree_based,0.1842820644378662,Srivastava,0.0020956993103027344,0.022587003869834723,tensor(0.9932),0.9003855029771126,1.0
100,0.02,0.0,0.01,degree_based,0.1842820644378662,ALE,0.0005540847778320312,0.15095600146084168,tensor(0.9915),0.7823840383836758,1.0
100,0.02,0.0,0.01,degree_based,0.1842820644378662,Modified_ALE,0.0011246204376220703,0.06677191348784199,tensor(0.9559),0.9003855029771126,1.0
100,0.02,0.0,0.01,degree_based,0.16613101959228516,Matic,0.001972675323486328,0.013207266446529475,tensor(0.9964),0.9557988626729934,1.0
100,0.02,0.0,0.01,degree_based,0.16613101959228516,fixed_point,0.001390695571899414,0.035160518095758625,tensor(0.9774),0.9737946687171718,1.0
100,0.02,0.0,0.01,degree_based,0.16613101959228516,dmp,0.0034797191619873047,0.0571545254084507,tensor(0.9182),0.944347619515618,0.9955673758865248
100,0.02,0.0,0.01,degree_based,0.16613101959228516,Srivastava,0.0016684532165527344,0.015272629183224182,tensor(0.9951),0.8880418484910062,1.0
100,0.02,0.0,0.01,degree_based,0.16613101959228516,ALE,0.0009059906005859375,0.1267027366435593,tensor(0.9917),0.7554026588204151,1.0
100,0.02,0.0,0.01,degree_based,0.16613101959228516,Modified_ALE,0.0012314319610595703,0.04022436613521951,tensor(0.9689),0.8880055247667159,1.0
100,0.02,0.0,0.01,degree_based,0.14216876029968262,Matic,0.0018072128295898438,0.02038372124002863,tensor(0.9903),0.979213049041939,1.0
100,0.02,0.0,0.01,degree_based,0.14216876029968262,fixed_point,0.0017898082733154297,0.05172335179246366,tensor(0.9569),0.9892057143320557,1.0
100,0.02,0.0,0.01,degree_based,0.14216876029968262,dmp,0.002936124801635742,0.04515343826030701,tensor(0.9296),0.9529411767469446,1.0
100,0.02,0.0,0.01,degree_based,0.14216876029968262,Srivastava,0.0019497871398925781,0.025815260193746182,tensor(0.9853),0.940817821464512,1.0
100,0.02,0.0,0.01,degree_based,0.14216876029968262,ALE,0.0005199909210205078,0.07187420932708055,tensor(0.9899),0.8495105355117719,1.0
100,0.02,0.0,0.01,degree_based,0.14216876029968262,Modified_ALE,0.0011608600616455078,0.04944473509557609,tensor(0.9567),0.9400763535915306,1.0
100,0.02,0.0,0.01,degree_based,0.10576367378234863,Matic,0.000993490219116211,0.004098837183338425,tensor(0.9994),0.9438974278130824,1.0
100,0.02,0.0,0.01,degree_based,0.10576367378234863,fixed_point,0.001543283462524414,0.021039729600765424,tensor(0.9871),0.9600651927657473,1.0
100,0.02,0.0,0.01,degree_based,0.10576367378234863,dmp,0.002832651138305664,0.0662028584854185,tensor(0.9116),0.9380451113948106,0.9915789473684211
