num_nodes,p,r,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,SWE,1,1,0.009148359298706055,0.0003707888011087893,tensor(1.0000),0.7925620752723159,0.9999503157894737
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,um_IC,2,0,0.008547067642211914,0.0003707888011087893,tensor(1.0000),0.7925620752723159,0.9999503157894737
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,dmp_um_fast,3,0,0.049440622329711914,0.0003633726175792342,tensor(1.0000),0.7361230457200493,0.9999595789473684
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,Naive,2,0,0.04051065444946289,0.0003707888011087893,tensor(1.0000),0.7925620752723159,0.9999503157894737
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,dmp_ic_fast,3,0,0.020495176315307617,0.00036337259802512583,tensor(1.0000),0.7361230497210929,0.9999595789473684
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,dmp_inf,3,0,0.045248985290527344,0.00036337656748755396,tensor(1.0000),0.605425792606229,0.9999595789473683
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,modified_ALE,2,0,0.0076045989990234375,0.0003671943548776173,tensor(1.0000),0.7925620879245838,0.9999494736842106
5000,0.02,0.0,0.01,random_0.1,2.190850019454956,ALE_heuristic,3,0,0.011232852935791016,0.0009209923936124158,tensor(1.0000),0.7925587685010951,0.9999494736842106
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,SWE,1,1,0.007996320724487305,0.00036778007514801173,tensor(1.0000),0.787615997631575,0.9997551182787071
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,um_IC,2,0,0.00852060317993164,0.00036778007514801173,tensor(1.0000),0.787615997631575,0.9997551182787071
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,dmp_um_fast,3,0,0.04890942573547363,0.0003585500153228244,tensor(1.0000),0.7265627470888397,0.9997751768497346
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,Naive,2,0,0.04012584686279297,0.00036778007514801173,tensor(1.0000),0.787615997631575,0.9997551182787071
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,dmp_ic_fast,3,0,0.0182802677154541,0.0003585499360543504,tensor(1.0000),0.7265627470888397,0.9997751768497346
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,dmp_inf,3,0,0.06047987937927246,0.0003585547515823414,tensor(1.0000),0.6018773390547596,0.9997751768497345
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,modified_ALE,2,0,0.009718894958496094,0.00036661779646848645,tensor(1.0000),0.78761600800116,0.9997551182787071
5000,0.02,0.0,0.01,random_0.1,1.7151501178741455,ALE_heuristic,3,0,0.0075054168701171875,0.0008340110565745384,tensor(1.0000),0.7876140794803885,0.9997551182787071
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,SWE,1,1,0.008464813232421875,0.00034508937725797717,tensor(1.0000),0.7716092582785063,0.999984
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,um_IC,2,0,0.007868051528930664,0.00034508937725797717,tensor(1.0000),0.7716092582785063,0.999984
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,dmp_um_fast,3,0,0.04973125457763672,0.000342000939203317,tensor(1.0000),0.7158499335621236,0.9999941052631579
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,Naive,2,0,0.04183697700500488,0.00034508937725797717,tensor(1.0000),0.7716092582785063,0.999984
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,dmp_ic_fast,3,0,0.020133018493652344,0.000342000939203317,tensor(1.0000),0.7158499335621236,0.9999941052631579
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,dmp_inf,3,0,0.04576897621154785,0.0003420212264108477,tensor(1.0000),0.5191762604149096,0.9999941052631579
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,modified_ALE,2,0,0.007844686508178711,0.0003518655994346577,tensor(1.0000),0.7716092540719145,0.999984
5000,0.02,0.0,0.01,random_0.1,1.3186302185058594,ALE_heuristic,3,0,0.01136636734008789,0.0006298838825093142,tensor(1.0000),0.7716065679781776,0.999984
5000,0.02,0.0,0.01,random_0.1,1.0422303676605225,SWE,1,1,0.00823664665222168,0.00024827092573283493,tensor(1.0000),0.7737172791956304,0.8032066125392033
5000,0.02,0.0,0.01,random_0.1,1.0422303676605225,um_IC,2,0,0.008426189422607422,0.00024827092573283493,tensor(1.0000),0.7737172791956304,0.8032066125392033
5000,0.02,0.0,0.01,random_0.1,1.0422303676605225,dmp_um_fast,3,0,0.052065372467041016,0.0002467371257621555,tensor(1.0000),0.6664568027922917,0.9972938540494373
5000,0.02,0.0,0.01,random_0.1,1.0422303676605225,Naive,2,0,0.04134988784790039,0.00024827092573283493,tensor(1.0000),0.7737172791956304,0.8032066125392033
5000,0.02,0.0,0.01,random_0.1,1.0422303676605225,dmp_ic_fast,3,0,0.01857900619506836,0.0002467371257621555,tensor(1.0000),0.6664568027922917,0.9972938540494373
5000,0.02,0.0,0.01,random_0.1,1.0422303676605225,dmp_inf,3,0,0.04683828353881836,0.00024673500913236483,tensor(1.0000),0.4177432177558665,0.9972884008586049
