num_nodes,num_edges_per_node,prob_selected,edge_method,time_mc,approximation,time_ic_apporx,rmse,pearson,spearman,auc
100,1,0.01,random_0.05,0.1153111457824707,Matic,0.0012919902801513672,0.0005803554375924493,tensor(1.0000),0.7380966522116454,1.0
100,1,0.01,random_0.05,0.1153111457824707,fixed_point,0.0019960403442382812,0.1095828185194793,tensor(-0.0281),0.324729877380016,0.76
100,1,0.01,random_0.05,0.1153111457824707,dmp,0.0040247440338134766,0.10958114849234477,tensor(-0.0281),0.3250059572608637,0.76
100,1,0.01,random_0.05,0.1153111457824707,Srivastava,0.001683950424194336,0.0005802579242855469,tensor(1.0000),0.7381409464267189,1.0
100,1,0.01,random_0.05,0.1153111457824707,ALE,0.0008001327514648438,0.0008101882188419114,tensor(1.0000),0.7405940248892322,1.0
100,1,0.01,random_0.05,0.1153111457824707,Modified_ALE,0.0006558895111083984,0.0005855016894784951,tensor(1.0000),0.7441045561820396,1.0
100,1,0.01,random_0.05,0.09380006790161133,Matic,0.0013642311096191406,0.0005479288457862454,tensor(1.0000),0.6148853185640198,1.0
100,1,0.01,random_0.05,0.09380006790161133,fixed_point,0.0010797977447509766,0.12669254115434406,tensor(-0.0265),0.0009855450252918522,0.2947368421052632
100,1,0.01,random_0.05,0.09380006790161133,dmp,0.0026178359985351562,0.1266716918751066,tensor(-0.0265),0.0009855450252918522,0.2947368421052632
100,1,0.01,random_0.05,0.09380006790161133,Srivastava,0.0014996528625488281,0.0005479219468774167,tensor(1.0000),0.6181769496897173,1.0
100,1,0.01,random_0.05,0.09380006790161133,ALE,0.0004982948303222656,0.000519890695757555,tensor(1.0000),0.6310634455501296,1.0
100,1,0.01,random_0.05,0.09380006790161133,Modified_ALE,0.0006575584411621094,0.0005471664835786622,tensor(1.0000),0.6340136841692572,1.0
100,1,0.01,random_0.05,0.12839531898498535,Matic,0.0014133453369140625,0.00020170389689231388,tensor(1.0000),0.5410966564379218,0.9964539007092199
100,1,0.01,random_0.05,0.12839531898498535,fixed_point,0.0020537376403808594,0.10489281832173221,tensor(-0.0113),-0.059522841667773024,0.2677304964539007
100,1,0.01,random_0.05,0.12839531898498535,dmp,0.0029189586639404297,0.10486905151537323,tensor(-0.0113),-0.06457581475443816,0.2597517730496454
100,1,0.01,random_0.05,0.12839531898498535,Srivastava,0.0019838809967041016,0.00020182338678060546,tensor(1.0000),0.5412330780070208,0.9964539007092199
100,1,0.01,random_0.05,0.12839531898498535,ALE,0.0005438327789306641,0.00026962632619928115,tensor(1.0000),0.5459086926927502,0.9964539007092199
100,1,0.01,random_0.05,0.12839531898498535,Modified_ALE,0.0006213188171386719,0.00020468675884148928,tensor(1.0000),0.5466970133506741,0.9964539007092199
100,1,0.01,random_0.05,0.09140658378601074,Matic,0.0017611980438232422,0.0005083390787134259,tensor(1.0000),0.46534590540509496,0.9964539007092198
100,1,0.01,random_0.05,0.09140658378601074,fixed_point,0.0021560192108154297,0.05127046447994467,tensor(-0.0107),-0.43607486886417535,0.012411347517730487
100,1,0.01,random_0.05,0.09140658378601074,dmp,0.0032324790954589844,0.05124695598761752,tensor(-0.0107),-0.3997149379931156,0.05319148936170215
100,1,0.01,random_0.05,0.09140658378601074,Srivastava,0.0016856193542480469,0.0005083385475593361,tensor(1.0000),0.6209351477102779,0.9964539007092199
100,1,0.01,random_0.05,0.09140658378601074,ALE,0.0006318092346191406,0.0005115160460831813,tensor(1.0000),0.6458790342055082,0.9964539007092199
100,1,0.01,random_0.05,0.09140658378601074,Modified_ALE,0.0009582042694091797,0.0005083353047118028,tensor(1.0000),0.7565596223309392,0.9964539007092198
100,1,0.01,random_0.05,0.10086750984191895,Matic,0.0014801025390625,0.0,tensor(nan),,
100,1,0.01,random_0.05,0.10086750984191895,fixed_point,0.0019214153289794922,0.0,tensor(nan),,
100,1,0.01,random_0.05,0.10086750984191895,dmp,0.003820657730102539,0.0,tensor(nan),,
100,1,0.01,random_0.05,0.10086750984191895,Srivastava,0.00344085693359375,0.0,tensor(nan),,
100,1,0.01,random_0.05,0.10086750984191895,ALE,0.0006420612335205078,0.0,tensor(nan),,
100,1,0.01,random_0.05,0.10086750984191895,Modified_ALE,0.0010607242584228516,0.0,tensor(nan),,
100,1,0.01,random_0.05,0.10747098922729492,Matic,0.001386880874633789,7.102345510453521e-05,tensor(1.0000),0.4680509103720399,1.0
100,1,0.01,random_0.05,0.10747098922729492,fixed_point,0.0019428730010986328,0.11675132402250266,tensor(-0.0106),-0.3019275589049668,0.09999999999999998
100,1,0.01,random_0.05,0.10747098922729492,dmp,0.002830982208251953,0.11674075803894392,tensor(-0.0106),-0.23744608883250673,0.23157894736842105
100,1,0.01,random_0.05,0.10747098922729492,Srivastava,0.001956462860107422,7.098722077466757e-05,tensor(1.0000),0.6821317968169527,1.0
100,1,0.01,random_0.05,0.10747098922729492,ALE,0.0005438327789306641,7.967407736029621e-05,tensor(1.0000),0.8747472604298157,1.0
100,1,0.01,random_0.05,0.10747098922729492,Modified_ALE,0.0006351470947265625,7.07143989250161e-05,tensor(1.0000),0.8747472604298157,1.0
100,1,0.01,random_0.05,0.11372637748718262,Matic,0.0015649795532226562,0.0004937588909160192,tensor(1.0000),0.6296393428555842,1.0
100,1,0.01,random_0.05,0.11372637748718262,fixed_point,0.0014581680297851562,0.13778854487378622,tensor(-0.0165),0.2738953093186907,0.7452631578947368
100,1,0.01,random_0.05,0.11372637748718262,dmp,0.004257917404174805,0.13777574935803436,tensor(-0.0165),0.27390352736958956,0.745263157894737
