num_nodes,num_edges_per_node,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
5000,1,0.01,random_0.1,1.3368914127349854,SWE,1,1,0.010188579559326172,0.0007152024885065758,tensor(0.9999),0.7813404882477513,0.9993305688764756
5000,1,0.01,random_0.1,1.3368914127349854,um_IC,2,0,0.011577129364013672,0.0007153842333766296,tensor(0.9999),0.7813404871367473,0.9993305688764756
5000,1,0.01,random_0.1,1.3368914127349854,dmp_um_fast,10,0,0.07498693466186523,0.06965906110839745,tensor(-0.0039),0.32210046492933375,0.5916321932967958
5000,1,0.01,random_0.1,1.3368914127349854,Naive,1,0,0.049866437911987305,0.06965970953710034,tensor(-0.0039),-0.027827473129762862,0.5065955022133221
5000,1,0.01,random_0.1,1.3368914127349854,dmp_ic_fast,10,0,0.027320146560668945,0.06965906110839745,tensor(-0.0039),0.32210073301017855,0.5916330167053119
5000,1,0.01,random_0.1,1.3368914127349854,dmp_inf,10,0,0.0581507682800293,0.0004983725099384835,tensor(1.0000),0.7320538285065813,0.9993462136382799
5000,1,0.01,random_0.1,1.3368914127349854,modified_ALE,2,0,0.008736133575439453,0.0007265032323348918,tensor(0.9999),0.7813409320433566,0.9993305688764756
5000,1,0.01,random_0.1,1.3368914127349854,ALE_heuristic,3,0,0.0070683956146240234,0.001752229801183095,tensor(0.9994),0.7813409284073435,0.9993305688764756
5000,1,0.01,random_0.1,1.1376228332519531,SWE,1,1,0.008222341537475586,0.0005208819589560469,tensor(1.0000),0.7488163235360152,0.9996543621261427
5000,1,0.01,random_0.1,1.1376228332519531,um_IC,2,0,0.008082389831542969,0.0005208819589560469,tensor(1.0000),0.7488163235360152,0.9996543621261427
5000,1,0.01,random_0.1,1.1376228332519531,dmp_um_fast,10,0,0.05954599380493164,0.08449405333019196,tensor(-0.0074),0.32438233824740376,0.633442645505575
5000,1,0.01,random_0.1,1.1376228332519531,Naive,1,0,0.042327165603637695,0.08450364222591326,tensor(-0.0074),-0.001070620857466882,0.4952873282611814
5000,1,0.01,random_0.1,1.1376228332519531,dmp_ic_fast,10,0,0.040216684341430664,0.08449405333019196,tensor(-0.0074),0.3243850614645994,0.633442645505575
5000,1,0.01,random_0.1,1.1376228332519531,dmp_inf,10,0,0.06646609306335449,0.00049226595285514,tensor(1.0000),0.7202330935999648,0.9997072145194752
5000,1,0.01,random_0.1,1.1376228332519531,modified_ALE,2,0,0.00824427604675293,0.0005203675155198047,tensor(1.0000),0.7488165476898007,0.9996510064186295
5000,1,0.01,random_0.1,1.1376228332519531,ALE_heuristic,3,0,0.007454633712768555,0.0005871099505782608,tensor(1.0000),0.748816546465474,0.9996510064186295
5000,1,0.01,random_0.1,1.0992186069488525,SWE,1,1,0.007626533508300781,0.0004341746015752794,tensor(1.0000),0.7024381550831568,0.9992222821097813
5000,1,0.01,random_0.1,1.0992186069488525,um_IC,2,0,0.008068084716796875,0.0004341746015752794,tensor(1.0000),0.7024381550831568,0.9992222821097813
5000,1,0.01,random_0.1,1.0992186069488525,dmp_um_fast,10,0,0.0592341423034668,0.08050758642195452,tensor(-0.0079),0.3589083911175475,0.6642227620306312
5000,1,0.01,random_0.1,1.0992186069488525,Naive,1,0,0.04467511177062988,0.08050616931302654,tensor(-0.0078),-0.0059983827887846375,0.49398786333494943
5000,1,0.01,random_0.1,1.0992186069488525,dmp_ic_fast,10,0,0.02337193489074707,0.08050758642195452,tensor(-0.0079),0.3589169069073703,0.6642326065608872
5000,1,0.01,random_0.1,1.0992186069488525,dmp_inf,10,0,0.0532839298248291,0.0003995559828798831,tensor(1.0000),0.7003968946084743,0.9992526360780705
5000,1,0.01,random_0.1,1.0992186069488525,modified_ALE,2,0,0.010084867477416992,0.0004393279290046272,tensor(1.0000),0.702438184563009,0.9992231024873026
5000,1,0.01,random_0.1,1.0992186069488525,ALE_heuristic,3,0,0.008054971694946289,0.0005416754946777169,tensor(1.0000),0.7024381843317943,0.9992231024873026
5000,1,0.01,random_0.1,1.3456804752349854,SWE,1,1,0.009085893630981445,0.000528751886652105,tensor(1.0000),0.7983572051343173,0.9994562823534897
5000,1,0.01,random_0.1,1.3456804752349854,um_IC,2,0,0.008867025375366211,0.0005220926769206521,tensor(1.0000),0.7983572636087197,0.9994554497077829
5000,1,0.01,random_0.1,1.3456804752349854,dmp_um_fast,10,0,0.0591893196105957,0.09555696010779849,tensor(-0.0097),0.37870204169646865,0.5829652345438059
5000,1,0.01,random_0.1,1.3456804752349854,Naive,1,0,0.0426025390625,0.09557084264072632,tensor(-0.0097),0.06257152671608861,0.5132536380372543
5000,1,0.01,random_0.1,1.3456804752349854,dmp_ic_fast,10,0,0.023520469665527344,0.09555696010779849,tensor(-0.0097),0.37870623368630696,0.5829610713152721
5000,1,0.01,random_0.1,1.3456804752349854,dmp_inf,10,0,0.0535578727722168,0.0005015229027508952,tensor(1.0000),0.7631028937874589,0.9996011627064648
5000,1,0.01,random_0.1,1.3456804752349854,modified_ALE,2,0,0.0076329708099365234,0.0005441298848076629,tensor(1.0000),0.7983571358860279,0.9994512864792492
5000,1,0.01,random_0.1,1.3456804752349854,ALE_heuristic,3,0,0.00848841667175293,0.0017508492983267139,tensor(0.9997),0.7983571311072877,0.9994512864792492
5000,1,0.01,random_0.1,1.3859524726867676,SWE,1,1,0.011724472045898438,0.0005470033568604635,tensor(1.0000),0.761880946874995,0.9997105702269885
