num_nodes,p,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
5000,0.0004,0.01,random_0.05,1.2281074523925781,SWE,10,0,0.012643814086914062,0.00021315754363202802,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.2281074523925781,um_IC,10,0,0.013371944427490234,0.00021316579367661675,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.2281074523925781,dmp_um_fast,2,0,0.04894900321960449,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.2281074523925781,Naive,10,0,0.03991818428039551,0.00021316585200912853,tensor(1.0000),0.40045481584759435,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.2281074523925781,dmp_ic_fast,2,0,0.019242525100708008,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.2281074523925781,dmp_inf,2,0,0.04607796669006348,0.00021347271843154844,tensor(1.0000),0.40039602962284887,0.9976165254237288
5000,0.0004,0.01,random_0.05,1.2281074523925781,modified_ALE,2,0,0.011706352233886719,0.00021360669821207838,tensor(1.0000),0.8956990322946071,0.9317781476997579
5000,0.0004,0.01,random_0.05,1.2281074523925781,ALE_heuristic,2,0,0.010297298431396484,0.0008592223874461137,tensor(1.0000),0.6596884894493399,0.7107142857142857
5000,0.0004,0.01,random_0.05,1.336184024810791,SWE,10,0,0.013662099838256836,0.00021315754363202802,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.336184024810791,um_IC,10,0,0.013814687728881836,0.00021316579367661675,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.336184024810791,dmp_um_fast,2,0,0.0529627799987793,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.336184024810791,Naive,10,0,0.044576406478881836,0.00021316585200912853,tensor(1.0000),0.40045481584759435,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.336184024810791,dmp_ic_fast,2,0,0.022452831268310547,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.336184024810791,dmp_inf,2,0,0.05265998840332031,0.00021347271843154844,tensor(1.0000),0.40039602962284887,0.9976165254237288
5000,0.0004,0.01,random_0.05,1.336184024810791,modified_ALE,2,0,0.012758970260620117,0.00021360669821207838,tensor(1.0000),0.8956990322946071,0.9317781476997579
5000,0.0004,0.01,random_0.05,1.336184024810791,ALE_heuristic,2,0,0.008249044418334961,0.0008592223874461137,tensor(1.0000),0.6596884894493399,0.7107142857142857
5000,0.0004,0.01,random_0.05,1.2917413711547852,SWE,10,0,0.015398263931274414,0.00021315754363202802,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.2917413711547852,um_IC,10,0,0.01832294464111328,0.00021316579367661675,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.2917413711547852,dmp_um_fast,2,0,0.05335426330566406,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.2917413711547852,Naive,10,0,0.04467201232910156,0.00021316585200912853,tensor(1.0000),0.40045481584759435,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.2917413711547852,dmp_ic_fast,2,0,0.01955389976501465,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.2917413711547852,dmp_inf,2,0,0.05539441108703613,0.00021347271843154844,tensor(1.0000),0.40039602962284887,0.9976165254237288
5000,0.0004,0.01,random_0.05,1.2917413711547852,modified_ALE,2,0,0.009613275527954102,0.00021360669821207838,tensor(1.0000),0.8956990322946071,0.9317781476997579
5000,0.0004,0.01,random_0.05,1.2917413711547852,ALE_heuristic,2,0,0.009574174880981445,0.0008592223874461137,tensor(1.0000),0.6596884894493399,0.7107142857142857
5000,0.0004,0.01,random_0.05,1.271381139755249,SWE,10,0,0.013184070587158203,0.00021315754363202802,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.271381139755249,um_IC,10,0,0.012892007827758789,0.00021316579367661675,tensor(1.0000),0.4004809399270299,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.271381139755249,dmp_um_fast,2,0,0.0467381477355957,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.271381139755249,Naive,10,0,0.03824925422668457,0.00021316585200912853,tensor(1.0000),0.40045481584759435,0.9976142554479419
5000,0.0004,0.01,random_0.05,1.271381139755249,dmp_ic_fast,2,0,0.017026662826538086,0.00021347132878063696,tensor(1.0000),0.748114177728396,0.9909064769975787
5000,0.0004,0.01,random_0.05,1.271381139755249,dmp_inf,2,0,0.04007863998413086,0.00021347271843154844,tensor(1.0000),0.40039602962284887,0.9976165254237288
5000,0.0004,0.01,random_0.05,1.271381139755249,modified_ALE,2,0,0.006955623626708984,0.00021360669821207838,tensor(1.0000),0.8956990322946071,0.9317781476997579
5000,0.0004,0.01,random_0.05,1.271381139755249,ALE_heuristic,2,0,0.006853342056274414,0.0008592223874461137,tensor(1.0000),0.6596884894493399,0.7107142857142857
5000,0.0004,0.01,random_0.05,1.2375421524047852,SWE,10,0,0.013380289077758789,0.00021315754363202802,tensor(1.0000),0.4004809399270299,0.9976142554479419
