dataset,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
Advogato,0.01,random_0.1,228.3449273109436,SWE,8,2,0.07430410385131836,0.006228025451635195,tensor(0.9998),0.9996516253434999,0.9999867721238678
Advogato,0.01,random_0.1,228.3449273109436,um_IC,9,0,0.07332086563110352,0.006595803242022549,tensor(0.9998),0.9996672365620682,0.9999823628318237
Advogato,0.01,random_0.1,228.3449273109436,dmp_um_fast,8,0,0.2147994041442871,0.006649631476258411,tensor(0.9998),0.9996787266746967,0.9999892217305589
Advogato,0.01,random_0.1,228.3449273109436,Naive,8,0,0.10309910774230957,0.007043160076096064,tensor(0.9998),0.9996545733543327,0.9999857922811913
Advogato,0.01,random_0.1,228.3449273109436,dmp_ic_fast,7,0,0.17906951904296875,0.006010850571105327,tensor(0.9998),0.9996420745494324,0.9999906914945736
Advogato,0.01,random_0.1,228.3449273109436,dmp_inf,7,0,0.48616576194763184,0.00966886702251457,tensor(0.9998),0.9996700683809273,0.999987262045206
Advogato,0.01,random_0.1,228.3449273109436,modified_ALE,5,0,0.04926800727844238,0.06484152706771143,tensor(0.9772),0.986182496926761,0.9936261233896286
Advogato,0.01,random_0.1,228.3449273109436,ALE_heuristic,5,0,0.05178713798522949,0.1859443723386281,tensor(0.8400),0.9738880285484864,0.9912313878883606
Advogato,0.01,random_0.1,223.6759865283966,SWE,8,2,0.08091187477111816,0.005754952225670272,tensor(0.9998),0.9997453080514163,0.9999657055063239
Advogato,0.01,random_0.1,223.6759865283966,um_IC,9,0,0.07050800323486328,0.0059890416016848205,tensor(0.9998),0.9997515204536399,0.999963745820971
Advogato,0.01,random_0.1,223.6759865283966,dmp_um_fast,8,0,0.20929312705993652,0.005824351004229304,tensor(0.9998),0.9997702319589845,0.9999755039330885
Advogato,0.01,random_0.1,223.6759865283966,Naive,8,0,0.10052251815795898,0.006963253919207844,tensor(0.9998),0.9997580747463034,0.9999691349556915
