num_nodes,p,prob_selected,edge_method,time_mc,approximation,time_ic_apporx,rmse,pearson,spearman,auc
100,0.02,0.01,random_0.05,0.15192222595214844,Matic,0.0013844966888427734,0.0003384620664888398,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.15192222595214844,fixed_point,0.001180410385131836,0.00033848705806047337,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.15192222595214844,dmp,0.0023376941680908203,0.00033381873847390344,tensor(1.0000),0.7126152330222779,1.0
100,0.02,0.01,random_0.05,0.15192222595214844,Srivastava,0.0015904903411865234,0.0003384823348893164,tensor(1.0000),0.7190204190174618,1.0
100,0.02,0.01,random_0.05,0.15192222595214844,ALE,0.0004942417144775391,0.0006788137245129129,tensor(1.0000),0.7533941671767821,1.0
100,0.02,0.01,random_0.05,0.15192222595214844,Modified_ALE,0.0005700588226318359,0.0003937276206223718,tensor(1.0000),0.7718935676762334,1.0
100,0.02,0.01,random_0.05,0.18242120742797852,Matic,0.0017764568328857422,0.0003384620664888398,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.18242120742797852,fixed_point,0.0013985633850097656,0.00033848705806047337,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.18242120742797852,dmp,0.0029621124267578125,0.00033381873847390344,tensor(1.0000),0.7126152330222779,1.0
100,0.02,0.01,random_0.05,0.18242120742797852,Srivastava,0.0017592906951904297,0.0003384823348893164,tensor(1.0000),0.7190204190174618,1.0
100,0.02,0.01,random_0.05,0.18242120742797852,ALE,0.0005526542663574219,0.0006788137245129129,tensor(1.0000),0.7533941671767821,1.0
100,0.02,0.01,random_0.05,0.18242120742797852,Modified_ALE,0.0006694793701171875,0.0003937276206223718,tensor(1.0000),0.7718935676762334,1.0
100,0.02,0.01,random_0.05,0.1687483787536621,Matic,0.0026781558990478516,0.0003384620664888398,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.1687483787536621,fixed_point,0.0017924308776855469,0.00033848705806047337,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.1687483787536621,dmp,0.003392934799194336,0.00033381873847390344,tensor(1.0000),0.7126152330222779,1.0
100,0.02,0.01,random_0.05,0.1687483787536621,Srivastava,0.0018563270568847656,0.0003384823348893164,tensor(1.0000),0.7190204190174618,1.0
100,0.02,0.01,random_0.05,0.1687483787536621,ALE,0.0006535053253173828,0.0006788137245129129,tensor(1.0000),0.7533941671767821,1.0
100,0.02,0.01,random_0.05,0.1687483787536621,Modified_ALE,0.0012717247009277344,0.0003937276206223718,tensor(1.0000),0.7718935676762334,1.0
100,0.02,0.01,random_0.05,0.1845555305480957,Matic,0.0014710426330566406,0.0003384620664888398,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.1845555305480957,fixed_point,0.0015728473663330078,0.00033848705806047337,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.1845555305480957,dmp,0.003103017807006836,0.00033381873847390344,tensor(1.0000),0.7126152330222779,1.0
100,0.02,0.01,random_0.05,0.1845555305480957,Srivastava,0.0020895004272460938,0.0003384823348893164,tensor(1.0000),0.7190204190174618,1.0
100,0.02,0.01,random_0.05,0.1845555305480957,ALE,0.0005223751068115234,0.0006788137245129129,tensor(1.0000),0.7533941671767821,1.0
100,0.02,0.01,random_0.05,0.1845555305480957,Modified_ALE,0.0007748603820800781,0.0003937276206223718,tensor(1.0000),0.7718935676762334,1.0
100,0.02,0.01,random_0.05,0.16748809814453125,Matic,0.0018417835235595703,0.0003384620664888398,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.16748809814453125,fixed_point,0.0013003349304199219,0.00033848705806047337,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.16748809814453125,dmp,0.002772092819213867,0.00033381873847390344,tensor(1.0000),0.7126152330222779,1.0
100,0.02,0.01,random_0.05,0.16748809814453125,Srivastava,0.002471923828125,0.0003384823348893164,tensor(1.0000),0.7190204190174618,1.0
100,0.02,0.01,random_0.05,0.16748809814453125,ALE,0.0010535717010498047,0.0006788137245129129,tensor(1.0000),0.7533941671767821,1.0
100,0.02,0.01,random_0.05,0.16748809814453125,Modified_ALE,0.0009634494781494141,0.0003937276206223718,tensor(1.0000),0.7718935676762334,1.0
100,0.02,0.01,random_0.05,0.18556618690490723,Matic,0.001560211181640625,0.0003384620664888398,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.18556618690490723,fixed_point,0.0013453960418701172,0.00033848705806047337,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.18556618690490723,dmp,0.0028579235076904297,0.00033381873847390344,tensor(1.0000),0.7126152330222779,1.0
100,0.02,0.01,random_0.05,0.18556618690490723,Srivastava,0.0016717910766601562,0.0003384823348893164,tensor(1.0000),0.7190204190174618,1.0
100,0.02,0.01,random_0.05,0.18556618690490723,ALE,0.0006396770477294922,0.0006788137245129129,tensor(1.0000),0.7533941671767821,1.0
100,0.02,0.01,random_0.05,0.18556618690490723,Modified_ALE,0.0009407997131347656,0.0003937276206223718,tensor(1.0000),0.7718935676762334,1.0
100,0.02,0.01,random_0.05,0.15882325172424316,Matic,0.0017671585083007812,0.0003384620664888398,tensor(1.0000),0.711790343040718,1.0
100,0.02,0.01,random_0.05,0.15882325172424316,fixed_point,0.0013427734375,0.00033848705806047337,tensor(1.0000),0.711790343040718,1.0
